TS,LAI,tair,VPD,ppt,sw,GPP
88,5.1,25.33645833,0.269973464,7.43,119.2283333,10.4786335
89,5.1,26.02979167,0.31820633,2.41,145.0235417,11.8674952
90,5.1,26.75645833,0.493128257,0,218.3866667,11.547131
91,5.1,26.01166667,0.4667037,17.67,205.7645833,11.960207
92,5.1,25.69041667,0.543793945,0,185.9647917,11.8839409
93,5.1,26.42083333,0.472593161,0,190.4966667,11.3964947
94,5.1,25.88,0.319136486,0.2,139.039375,11.1120455
95,5.1,24.09875,0.087491274,8,36.55833333,3.2558539
96,5.1,25.52645833,0.353697145,0,140.5572917,11.0283018
97,5.1,24.09395833,0.107708123,48.59,61.01166667,5.6345625
98,5.1,24.75208333,0.205235944,7.83,109.6016667,9.7965057
99,5.1,25.26875,0.378827973,0.2,164.7533333,11.3862561
100,5.1,23.48166667,0.104917461,12.64,65.66083333,6.5102785
101,5.1,25.10875,0.41948574,1,251.6785417,10.7226133
102,5.1,25.840625,0.501251281,0,268.4864583,10.1741989
103,5.1,24.80729167,0.164998683,29.7,126.8691667,7.4081699
104,5.1,24.73916667,0.365460742,0,209.9416667,12.8070786
105,5.1,25.63333333,0.725811153,0,284.1902083,9.4468166
106,5.1,25.66958333,0.732107402,0,243.99,9.4967039
107,5.086666667,25.89104167,0.672091842,0,209.3254167,10.325127
108,5.073333333,25.90791667,0.588846918,0,222.90375,10.7833837
109,5.06,25.29145833,0.219233761,4.01,100.81,8.7060635
110,5.046666667,25.581875,0.286653522,0,108.6264583,9.2952972
111,5.033333333,26.09042834,0.592718047,0,221.195625,10.4837568
112,5.02,24.2625,0.127561482,24.89,74.77291667,6.4983888
113,5.006666667,25.49666667,0.299249577,18.27,135.509375,10.7145915
114,4.993333333,23.97791667,0.07370374,17.8,36.84354167,3.6309219
115,4.98,24.10833333,0.261837261,0,119.3883333,10.3057428
116,4.966666667,25.013125,0.516906833,0,201.3402083,10.7974127
117,4.953333333,25.39791667,0.671133478,0,213.39,10.0732168
118,4.94,25.108125,0.494764279,0,189.1858333,11.2846235
119,4.926666667,24.84645833,0.398752511,0,162.06875,11.452473
120,4.913333333,25.37979167,0.407149612,0.8,160.048125,10.7906004
121,4.9,26.20729167,0.598161932,0,193.161875,10.1868986
122,4.886666667,25.694375,0.554187924,0,204.2470833,9.976527
123,4.873333333,25.58645833,0.552637868,0,182.9802083,10.4600818
124,4.86,25.67770833,0.408076905,0.2,168.213125,9.9285341
125,4.846666667,22.74041667,0.042468152,31.71,15.545,1.3722987
126,4.833333333,23.125,0.180756971,0.2,96.80791667,8.7958228
127,4.82,23.56854167,0.191408687,0,102.595625,8.9679676
128,4.806666667,24.22458333,0.33520357,0,158.4725,10.3989034
129,4.793333333,25.13791667,0.437031389,0,180.631875,9.8672726
130,4.78,25.046875,0.29123172,5.42,149.4675519,10.3039198
131,4.766666667,25.475,0.347002097,0,152.77,10.5914244
132,4.753333333,24.65791667,0.14344278,0.2,67.21729167,6.3622977
133,4.74,25.413125,0.418513003,0,185.4264583,9.5772796
134,4.726666667,25.05229167,0.262162958,0.2,117.9525,9.3516746
135,4.713333333,20.94895833,0.053524346,29.5,26.615625,2.7209148
136,4.7,18.986875,0.047530261,8.8,24.20125,2.5380303
137,4.7,21.63416667,0.194939195,0,81.941875,7.6487361
138,4.7,23.99333333,0.241837082,1.8,111.9535417,9.6989618
139,4.7,24.11479167,0.205920545,3.21,102.37,8.9588217
140,4.7,24.863125,0.507695815,0.2,170.405,9.7773318
141,4.7,24.99958333,0.487803294,0,182.2083333,9.3989383
142,4.7,25.17458333,0.472825185,0.4,168.2085417,9.913694
143,4.7,24.788125,0.307689685,1.2,140.1710417,9.4928597
144,4.7,25.74,0.432928025,0,170.448125,9.3760077
145,4.7,25.83895833,0.39621772,0.2,146.0883333,9.9953424
146,4.7,25.46395833,0.294245304,0,121.7835417,7.9505091
147,4.7,23.77708333,0.09960217,9.42,56.69729167,5.2360923
148,4.7,22.794375,0.051811216,11.82,28.87416667,2.7438392
149,4.7,21.838125,0.11855714,4.6,39.28833333,3.9325025
150,4.7,20.04395833,0.066871758,4.4,36.3675,3.6811193
151,4.7,19.24666667,0.044520019,6.2,27.48916667,2.8364608
152,4.7,17.59208333,0.100262602,1.8,42.7776788,4.3554995
153,4.7,19.31145833,0.29696587,0.4,88.113125,8.2929582
154,4.7,19.665625,0.560525069,0,179.3639583,9.4246305
155,4.7,19.72041667,0.496668026,0,184.8447917,9.1136306
156,4.7,21.75708333,0.482097025,0,183.8972917,8.9994901
157,4.7,22.29645833,0.569208054,0.2,181.7245833,8.8690427
158,4.7,21.33979167,0.46728727,0,171.1729167,9.4444787
159,4.7,22.09291667,0.470319235,0,180.5852083,8.8754177
160,4.7,23.44375,0.514133384,0,168.8525,9.0764162
161,4.7,23.19791667,0.18719817,21.49,104.5427083,7.7043848
162,4.7,20.7125,0.08102801,8.81,19.59854167,1.8666567
163,4.7,18.525,0.151545775,1.2,45.97333333,4.5787738
164,4.7,20.70541667,0.473570576,0,151.7983333,9.8474363
165,4.7,21.37416667,0.383011635,0,179.3916667,9.5729238
166,4.7,23.04833333,0.333483418,0,145.5772917,9.3564854
